date,GTotal,BTotal,GFlow,BFlow,T,Pa,Err,Alarm,BDiff
2019-07-06,7770.790641569445,32668.620029027777,1.2836164097222222,5.082396965277778,31.39860659027778,426.69831909722217,0.0,0.0,5.368207486111133
2019-07-07,7794.636971111111,32764.22442548611,0.7322669305555555,2.945789375,28.348105333333336,428.68673012499994,0.0,0.0,3.8031017916667023
2019-07-08,7814.669554930556,32845.433016999996,0.598445375,2.4340773194444445,26.68271633333333,432.6493530972222,0.0,0.0,2.7707347777778124
2019-07-09,7832.8108302361115,32919.47516838889,0.8289334861111111,3.357971333333333,27.197858916666664,432.70678544444445,0.0,0.0,3.413122986111072
2019-07-10,7853.796048944445,33004.92268659722,0.9903639722222222,4.0078773611111105,27.895363375,432.63430616666665,0.0,0.0,3.7516720416666023
2019-07-11,7877.219705458333,33100.19438068056,1.1141641666666666,4.493806638888889,28.16412473611111,432.4433593888889,0.0,0.0,4.250771124999926
2019-07-12,7903.507005643162,33206.7496207703,1.2811888258547006,5.130347848290598,29.050897392094015,431.88569629594014,0.0,0.0,4.493884655982932
2019-07-13,7928.631265127136,33308.15870506838,1.3491310448717948,5.399150027777778,29.211262233974363,431.83307304273507,0.0,0.0,5.7096403012821035
2019-07-14,7956.08524933436,33418.47954411949,1.4281979015384614,5.71044564,29.975922912307695,431.2528999738461,0.0,400.0,5.612083571282139
2019-07-15,7982.540228069852,33524.61645092448,1.3293161889878542,5.323516626504723,29.859040582348182,431.3529778935493,0.0,400.0,5.835556758866441
2019-07-16,8010.99184561564,33638.793080668074,1.1648171584628237,4.64691146289056,30.920298288086883,431.7154998947703,0.0,400.0,4.891523454837102
2019-07-17,8037.711576357088,33746.146738445466,1.2485452691874614,4.986510170716646,30.965982263739054,432.21819958926295,0.0,400.0,5.071186224692088
2019-07-18,8060.8751968395445,33839.31641560628,1.1625276142167014,4.658930252587992,30.21944490993789,433.1572843319531,0.0,400.0,3.7831802977914997
2019-07-19,8086.887989638486,33944.05395164331,1.1417463285024154,4.583356847826087,30.532115566022544,431.76259868115943,0.0,400.0,5.002817826892115
2019-07-20,8108.59212451037,34031.53702797258,0.9999254177777779,4.0246073,30.199653110370367,431.66273097333334,0.0,400.0,4.563610603703764
2019-07-21,8132.380082703704,34127.623730663705,0.7771913022222222,3.1158215577777777,31.26602975259259,430.7486277955556,0.0,400.0,5.1617515348149
2019-07-22,8152.726402066667,34209.79412182667,0.8866357066666666,3.560630306666667,31.040760213333332,431.56129962666665,0.0,400.0,4.096417893333322
2019-07-23,8179.45833891942,34317.93165058435,0.9101583999999999,3.6583692457971018,31.672330089275363,431.66293645043476,0.0,400.0,4.68715218898548
2019-07-24,8205.208087795532,34422.111686768236,0.7849687238888888,3.163713738019324,32.23229482205314,431.8043515309903,0.0,400.0,3.721329646763204
2019-07-25,8227.305858115533,34511.54314328824,0.7364350305555556,2.9543401780193244,32.48493519538647,431.509958597657,0.0,400.0,3.578971966763266
2019-07-26,8248.376875567223,34596.190566428326,0.7218799888888888,2.8704781750000006,33.07026937111112,431.29998439777773,0.0,400.0,3.321333340555563
2019-07-27,8272.076931051111,34690.961700937776,1.0865781316666665,4.323304856111112,33.53357321166666,430.6582844905556,0.0,400.0,4.694145349444451
2019-07-28,8297.323591397779,34791.88965261778,1.1209658649999998,4.482108589444445,33.034963651666665,429.68721523722223,0.0,400.0,4.403752189444454
2019-07-29,8321.644646953333,34889.04999459,1.0713590733333334,4.299339603333333,32.51673186,430.6599629733334,0.0,400.0,11.829030036666737
2019-07-30,8349.981826778787,35002.82648963485,0.9525712272727273,3.842053253030303,31.226133093939396,430.46894144242424,0.0,400.0,16.57227006818197
2019-07-31,8381.276647966088,35128.44518304438,1.0440441796536797,4.179215322871573,31.575313084415587,430.8290488138529,0.0,400.0,16.823550718975614
2019-08-01,8409.975668239422,35243.93146624104,0.9385069863203462,3.7584029462049067,31.686724811082254,429.7164288138528,0.0,400.0,8.597039215642178
2019-08-02,8428.055538027302,35316.47935465619,0.8645483257142857,3.4662971765079362,31.139304417142863,430.40783690476195,0.0,400.0,2.7360449641269313
2019-08-03,8448.455959106666,35398.99822501334,0.39720004,1.6107902400000003,29.872157560000005,432.6864826666667,0.0,400.0,28.757688146667352
2019-08-04,8469.393030490195,35483.89953987059,0.6662880078431374,2.6992422980392163,29.061441078431375,431.7335563333333,0.0,400.0,29.552616360785024
2019-08-05,8493.478751765557,35581.599150332906,0.8310104049445867,3.346111750213129,29.291099455242968,431.1084103623188,0.0,400.0,30.636878808611154
2019-08-06,8517.600280003653,35679.05808835672,1.3619632858969677,5.461897726403605,30.22291152667154,429.3096898385093,0.0,400.0,5.790153856229407
2019-08-07,8541.870797633457,35776.938670179465,1.2666629180538302,5.0698097750310565,30.148575768240164,429.9033225985093,0.0,400.0,5.758802335445097
2019-08-08,8569.81383329143,35889.25636709714,1.293357480952381,5.102372616190476,30.274700071428573,428.36914644952384,0.0,400.0,5.84518977428571
2019-08-09,8596.77407232606,35996.188577027875,1.1186877212121213,4.387031200606061,30.31860333333334,426.352938579394,0.0,400.0,4.545757347878794
2019-08-10,8623.966641766061,36103.433386414545,1.1197581478787877,4.363972787272728,30.07440346666667,424.4435554060606,0.0,400.0,4.465392281212134
2019-08-11,8650.417963739395,36207.48813173454,1.046104641212121,4.133061707272728,29.041794333333332,424.01488515272723,0.0,400.0,4.0357774678787175
2019-08-12,8672.596135436364,36295.698862537574,0.942633732121212,3.748743586060607,27.258101878787883,424.49923607696974,0.0,400.0,3.5545525890908993
